# Canadian Moho depth compilation by Schetsellar, E. M. and Snyder, D. B.
# ===
# This is a reproduction of data downloaded from geoscan.nrcan.gc.ca
# ===
# Title: National database of Moho depth estimates estimates from seismic refraction and teleseismic surveys
# Author: Schetselaar, E M; Snyder, D B
# Source: Geological Survey of Canada, Open File 8243, 2017, 14 pages, https://doi.org/10.4095/305396 (Open Access)
# Year: 2017
# Publisher: Natural Resources Canada
# GEOSCAN ID: 305396
STATION,LON,LAT,Z,MOHODEPTH,STDDEV,DUPLICATE,METHOD,DATA_SOURCE,LOCATION,AUTHORS_1st,YEAR,TITLE,JOURNAL
BBV21,-72.86,76.2,-453.74,26,,FALSE,REFRACTION,ArcticRefraction,Baffin Bay,Jackson et al.,1979,Crustal Thickness Variations between the Greenland and Ellesmere Island Margins determined from Seismic Refraction,"Canadian Journal of Earth Sciences, 16(11):2122-2135."
BBV22,-74.59,76.2,-425.33,23.76,,FALSE,REFRACTION,ArcticRefraction,Baffin Bay,Jackson et al.,1979,Crustal Thickness Variations between the Greenland and Ellesmere Island Margins determined from Seismic Refraction,"Canadian Journal of Earth Sciences, 16(11):2122-2135."
BBV23,-76.32,76.2,-265.25,23.76,,FALSE,REFRACTION,ArcticRefraction,Baffin Bay,Jackson et al.,1979,Crustal Thickness Variations between the Greenland and Ellesmere Island Margins determined from Seismic Refraction,"Canadian Journal of Earth Sciences, 16(11):2122-2135."
BBV24,-70.58,75.67,-529.43,41.96,,FALSE,REFRACTION,ArcticRefraction,Baffin Bay,Jackson et al.,1979,Crustal Thickness Variations between the Greenland and Ellesmere Island Margins determined from Seismic Refraction,"Canadian Journal of Earth Sciences, 16(11):2122-2135."
BBV25,-71.23,76.06,-496.77,39.92,,FALSE,REFRACTION,ArcticRefraction,Baffin Bay,Jackson et al.,1979,Crustal Thickness Variations between the Greenland and Ellesmere Island Margins determined from Seismic Refraction,"Canadian Journal of Earth Sciences, 16(11):2122-2135."
BBV26,-71.88,76.44,-517.52,37.83,,FALSE,REFRACTION,ArcticRefraction,Baffin Bay,Jackson et al.,1979,Crustal Thickness Variations between the Greenland and Ellesmere Island Margins determined from Seismic Refraction,"Canadian Journal of Earth Sciences, 16(11):2122-2135."
BBV27,-72.53,76.82,-214.4,28,,FALSE,REFRACTION,ArcticRefraction,Baffin Bay,Jackson et al.,1979,Crustal Thickness Variations between the Greenland and Ellesmere Island Margins determined from Seismic Refraction,"Canadian Journal of Earth Sciences, 16(11):2122-2135."
BBV28,-73.18,77.18,-401.01,25,,FALSE,REFRACTION,ArcticRefraction,Baffin Bay,Jackson et al.,1979,Crustal Thickness Variations between the Greenland and Ellesmere Island Margins determined from Seismic Refraction,"Canadian Journal of Earth Sciences, 16(11):2122-2135."
BBV29,-74.32,74.1,-753.71,33.95,,FALSE,REFRACTION,ArcticRefraction,Baffin Bay,Jackson et al.,1979,Crustal Thickness Variations between the Greenland and Ellesmere Island Margins determined from Seismic Refraction,"Canadian Journal of Earth Sciences, 16(11):2122-2135."
BBV30,-78,75.37,-408.29,28.33,,FALSE,REFRACTION,ArcticRefraction,Baffin Bay,Jackson et al.,1979,Crustal Thickness Variations between the Greenland and Ellesmere Island Margins determined from Seismic Refraction,"Canadian Journal of Earth Sciences, 16(11):2122-2135."
BBV31,-76.95,75.02,-349.29,19,,FALSE,REFRACTION,ArcticRefraction,Baffin Bay,Jackson et al.,1979,Crustal Thickness Variations between the Greenland and Ellesmere Island Margins determined from Seismic Refraction,"Canadian Journal of Earth Sciences, 16(11):2122-2135."
BBV32,-75.91,74.66,-510.09,19,,FALSE,REFRACTION,ArcticRefraction,Baffin Bay,Jackson et al.,1979,Crustal Thickness Variations between the Greenland and Ellesmere Island Margins determined from Seismic Refraction,"Canadian Journal of Earth Sciences, 16(11):2122-2135."
BBV33,-75.07,74.37,-661.9,19,,FALSE,REFRACTION,ArcticRefraction,Baffin Bay,Jackson et al.,1979,Crustal Thickness Variations between the Greenland and Ellesmere Island Margins determined from Seismic Refraction,"Canadian Journal of Earth Sciences, 16(11):2122-2135."
BBV38,-68.9,72.1,-2099.2,10.31,,FALSE,REFRACTION,ArcticRefraction,Baffin Bay,Keen & Barrett,1972,Seismic refraction studies in Baffin Bay: An example of a developing ocean basin,"Geophys. J. R. Astron. Soc., 30:253-271."
BBV39,-68.52,71.87,-2143,8.65,,FALSE,REFRACTION,ArcticRefraction,Baffin Bay,Keen & Barrett,1972,Seismic refraction studies in Baffin Bay: An example of a developing ocean basin,"Geophys. J. R. Astron. Soc., 30:253-271."
BBV40,-67.48,72.17,-2360,9.55,,FALSE,REFRACTION,ArcticRefraction,Baffin Bay,Keen & Barrett,1972,Seismic refraction studies in Baffin Bay: An example of a developing ocean basin,"Geophys. J. R. Astron. Soc., 30:253-271."
BBV41,-66.88,71.88,-2301.28,10.55,,FALSE,REFRACTION,ArcticRefraction,Baffin Bay,Keen & Barrett,1972,Seismic refraction studies in Baffin Bay: An example of a developing ocean basin,"Geophys. J. R. Astron. Soc., 30:253-271."
BBV52,-62.5,68.98,-1898.25,6.8,,FALSE,REFRACTION,ArcticRefraction,Baffin Bay,Keen & Barrett,1972,Seismic refraction studies in Baffin Bay: An example of a developing ocean basin,"Geophys. J. R. Astron. Soc., 30:253-271."
BBV53,-61.98,68.52,-1823.76,9.32,,FALSE,REFRACTION,ArcticRefraction,Baffin Bay,Keen & Barrett,1972,Seismic refraction studies in Baffin Bay: An example of a developing ocean basin,"Geophys. J. R. Astron. Soc., 30:253-271."
BBV56,-57.9,65.98,-589.01,22.81,,FALSE,REFRACTION,ArcticRefraction,Baffin Bay,Keen & Barrett,1972,Seismic refraction studies in Baffin Bay: An example of a developing ocean basin,"Geophys. J. R. Astron. Soc., 30:253-271."
BBV58,-65.22,72.3,-2317.79,10.81,,FALSE,REFRACTION,ArcticRefraction,Baffin Bay,Keen & Barrett,1972,Seismic refraction studies in Baffin Bay: An example of a developing ocean basin,"Geophys. J. R. Astron. Soc., 30:253-271."
BBV59,-65.92,71.65,-2270.34,10.31,,FALSE,REFRACTION,ArcticRefraction,Baffin Bay,Keen & Barrett,1972,Seismic refraction studies in Baffin Bay: An example of a developing ocean basin,"Geophys. J. R. Astron. Soc., 30:253-271."
BBV62,-71.71,72.07,-839.98,14.01,,FALSE,REFRACTION,ArcticRefraction,Baffin Bay,Jackson et al.,1977,Geophysical studies on the eastern continental margin of Baffin Bay and in Lancaster Sound.,"Canadian Journal of Earth Sciences, 14(9):1991-2001."
BBV63,-71.11,71.94,-1143.83,13.51,,FALSE,REFRACTION,ArcticRefraction,Baffin Bay,Jackson et al.,1977,Geophysical studies on the eastern continental margin of Baffin Bay and in Lancaster Sound.,"Canadian Journal of Earth Sciences, 14(9):1991-2001."
BBV64,-68.41,71.42,-1453.32,14.76,,FALSE,REFRACTION,ArcticRefraction,Baffin Bay,Jackson et al.,1977,Geophysical studies on the eastern continental margin of Baffin Bay and in Lancaster Sound.,"Canadian Journal of Earth Sciences, 14(9):1991-2001."
CV1,-108.82,76.49,92.57,37,,FALSE,REFRACTION,ArcticRefraction,Canadian Polar Margin,Overton,1970,"Seismic refraction surveys, western Queen Elizabeth Islands and Polar continental margin.","Canadian Journal of Earth Sciences, 7:346-365"
CV10,-105.7,79.65,-255.64,5,,FALSE,REFRACTION,ArcticRefraction,Canadian Polar Margin,Overton,1970,"Seismic refraction surveys, western Queen Elizabeth Islands and Polar continental margin.","Canadian Journal of Earth Sciences, 7:346-365"
CV14,-102,77.87,31.91,4.57,,FALSE,REFRACTION,ArcticRefraction,Canadian Polar Margin,Overton,1970,"Seismic refraction surveys, western Queen Elizabeth Islands and Polar continental margin.","Canadian Journal of Earth Sciences, 7:346-365"
CV18,-122.95,76.29,-6.52,32,,FALSE,REFRACTION,ArcticRefraction,Canadian Polar Margin,Overton,1970,"Seismic refraction surveys, western Queen Elizabeth Islands and Polar continental margin.","Canadian Journal of Earth Sciences, 7:346-365"
CV19,-129.93,77.44,-3247.98,15,,FALSE,REFRACTION,ArcticRefraction,Canadian Polar Margin,Overton,1970,"Seismic refraction surveys, western Queen Elizabeth Islands and Polar continental margin.","Canadian Journal of Earth Sciences, 7:346-365"
CV2,-101.25,77.78,61.37,31,,FALSE,REFRACTION,ArcticRefraction,Canadian Polar Margin,Overton,1970,"Seismic refraction surveys, western Queen Elizabeth Islands and Polar continental margin.","Canadian Journal of Earth Sciences, 7:346-365"
CV20,-117.51,78.4,-556.7,38,,FALSE,REFRACTION,ArcticRefraction,Canadian Polar Margin,Overton,1970,"Seismic refraction surveys, western Queen Elizabeth Islands and Polar continental margin.","Canadian Journal of Earth Sciences, 7:346-365"
CV21,-114.39,77.89,11.13,28.1,,FALSE,REFRACTION,ArcticRefraction,Canadian Polar Margin,Overton,1970,"Seismic refraction surveys, western Queen Elizabeth Islands and Polar continental margin.","Canadian Journal of Earth Sciences, 7:346-365"
CV22,-112.22,77.68,34.58,35.1,,FALSE,REFRACTION,ArcticRefraction,Canadian Polar Margin,Overton,1970,"Seismic refraction surveys, western Queen Elizabeth Islands and Polar continental margin.","Canadian Journal of Earth Sciences, 7:346-365"
CV23,-113.63,77.15,-12.94,45.1,,FALSE,REFRACTION,ArcticRefraction,Canadian Polar Margin,Overton,1970,"Seismic refraction surveys, western Queen Elizabeth Islands and Polar continental margin.","Canadian Journal of Earth Sciences, 7:346-365"
CV24,-116.31,77,30.14,39.1,,FALSE,REFRACTION,ArcticRefraction,Canadian Polar Margin,Overton,1970,"Seismic refraction surveys, western Queen Elizabeth Islands and Polar continental margin.","Canadian Journal of Earth Sciences, 7:346-365"
CV25,-117.42,76.55,91.9,32.1,,FALSE,REFRACTION,ArcticRefraction,Canadian Polar Margin,Overton,1970,"Seismic refraction surveys, western Queen Elizabeth Islands and Polar continental margin.","Canadian Journal of Earth Sciences, 7:346-365"
CV26,-119.13,76.29,90.18,37.1,,FALSE,REFRACTION,ArcticRefraction,Canadian Polar Margin,Overton,1970,"Seismic refraction surveys, western Queen Elizabeth Islands and Polar continental margin.","Canadian Journal of Earth Sciences, 7:346-365"
CV27,-114.15,76.89,15.95,39.6,,FALSE,REFRACTION,ArcticRefraction,Canadian Polar Margin,Overton,1970,"Seismic refraction surveys, western Queen Elizabeth Islands and Polar continental margin.","Canadian Journal of Earth Sciences, 7:346-365"
CV28,-112.85,76.21,45.56,39.1,,FALSE,REFRACTION,ArcticRefraction,Canadian Polar Margin,Overton,1970,"Seismic refraction surveys, western Queen Elizabeth Islands and Polar continental margin.","Canadian Journal of Earth Sciences, 7:346-365"
CV29,-119.47,78.69,-961.8,42.1,,FALSE,REFRACTION,ArcticRefraction,Canadian Polar Margin,Overton,1970,"Seismic refraction surveys, western Queen Elizabeth Islands and Polar continental margin.","Canadian Journal of Earth Sciences, 7:346-365"
CV30,-135.5,69.8,-12.98,29.51,,FALSE,REFRACTION,ArcticRefraction,Canadian Polar Margin,Overton,1970,"Seismic refraction surveys, western Queen Elizabeth Islands and Polar continental margin.","Canadian Journal of Earth Sciences, 7:346-365"
CV31,-137.5,70.2,-63.15,32.01,,FALSE,REFRACTION,ArcticRefraction,Canadian Polar Margin,Overton,1970,"Seismic refraction surveys, western Queen Elizabeth Islands and Polar continental margin.","Canadian Journal of Earth Sciences, 7:346-365"
CV32,-135,69.5,-2,36.01,,FALSE,REFRACTION,ArcticRefraction,Canadian Polar Margin,Overton,1970,"Seismic refraction surveys, western Queen Elizabeth Islands and Polar continental margin.","Canadian Journal of Earth Sciences, 7:346-365"
CV33,-132.66,67.88,276.48,35.01,,FALSE,REFRACTION,ArcticRefraction,Canadian Polar Margin,Overton,1970,"Seismic refraction surveys, western Queen Elizabeth Islands and Polar continental margin.","Canadian Journal of Earth Sciences, 7:346-365"
CV34,-132.66,67.88,276.48,21.51,,FALSE,REFRACTION,ArcticRefraction,Canadian Polar Margin,Overton,1970,"Seismic refraction surveys, western Queen Elizabeth Islands and Polar continental margin.","Canadian Journal of Earth Sciences, 7:346-365"
CV4,-86,80.1,224.4,33,,FALSE,REFRACTION,ArcticRefraction,Canadian Polar Margin,Overton,1970,"Seismic refraction surveys, western Queen Elizabeth Islands and Polar continental margin.","Canadian Journal of Earth Sciences, 7:346-365"
CV5,-104.13,77.13,91.38,36,,FALSE,REFRACTION,ArcticRefraction,Canadian Polar Margin,Overton,1970,"Seismic refraction surveys, western Queen Elizabeth Islands and Polar continental margin.","Canadian Journal of Earth Sciences, 7:346-365"
CV6,-102.06,80.68,-269.52,25,,FALSE,REFRACTION,ArcticRefraction,Canadian Polar Margin,Overton,1970,"Seismic refraction surveys, western Queen Elizabeth Islands and Polar continental margin.","Canadian Journal of Earth Sciences, 7:346-365"
CV7,-100.83,81.22,-548.45,25,,FALSE,REFRACTION,ArcticRefraction,Canadian Polar Margin,Overton,1970,"Seismic refraction surveys, western Queen Elizabeth Islands and Polar continental margin.","Canadian Journal of Earth Sciences, 7:346-365"
EV17,-21.67,86.4,0,9.51,,FALSE,REFRACTION,ArcticRefraction,Eurasian basin,Jackson et al.,1984,The Yermak Plateau: formed at a triple junction.,"Journal of Geophysical Research, 89:3223-3232."
EV18,-24.72,86.17,0,8.51,,FALSE,REFRACTION,ArcticRefraction,Eurasian basin,Jackson et al.,1984,The Yermak Plateau: formed at a triple junction.,"Journal of Geophysical Research, 89:3223-3232."
EV19,-24.72,86.17,0,8.81,,FALSE,REFRACTION,ArcticRefraction,Eurasian basin,Jackson et al.,1984,The Yermak Plateau: formed at a triple junction.,"Journal of Geophysical Research, 89:3223-3232."
LINE87-2,-138,70,-164.22,30,,FALSE,REFRACTION,ArcticRefraction,Beaufort Sea,Stephenson et al.,1994,Crustal structure and tectonics of the southeastern Beaufort Sea continental margin.,"Tectonics, 13:389-400."
ARTA01,-93.79,81.51,-433.43,30,,FALSE,REFRACTION,ARTA refraction,Alpha Ridge,Funck et al.,2011,The crustal structure of the Alpha Ridge at the transition to the Canadian Polar margin: results from a seismic refraction experiment,"Journal of Geophysical Research, 116(B12):2156-2202"
ARTA02,-94.44,81.98,-276.23,22,,FALSE,REFRACTION,ARTA refraction,Alpha Ridge,Funck et al.,2011,The crustal structure of the Alpha Ridge at the transition to the Canadian Polar margin: results from a seismic refraction experiment,"Journal of Geophysical Research, 116(B12):2156-2202"
ARTA03,-98.52,83.16,-2205.26,32,,FALSE,REFRACTION,ARTA refraction,Alpha Ridge,Funck et al.,2011,The crustal structure of the Alpha Ridge at the transition to the Canadian Polar margin: results from a seismic refraction experiment,"Journal of Geophysical Research, 116(B12):2156-2202"
ARTA04,-109.43,82.54,-2951.54,26,,FALSE,REFRACTION,ARTA refraction,Alpha Ridge,Funck et al.,2011,The crustal structure of the Alpha Ridge at the transition to the Canadian Polar margin: results from a seismic refraction experiment,"Journal of Geophysical Research, 116(B12):2156-2202"
AB100,-81.84,47.48,400.42,38,,FALSE,REFRACTION,LITHOPROBE,ABITIBI-GRENVILLE,Winardhi & Mereu,1997,Crustal velocity structure of the Superior and Grenville provinces of the southeastern Canadian Shield,"Canadian Journal of Earth Sciences, 34(8):1167-1184"
AB101,-81.79,47.33,426,38,,FALSE,REFRACTION,LITHOPROBE,ABITIBI-GRENVILLE,Winardhi & Mereu,1997,Crustal velocity structure of the Superior and Grenville provinces of the southeastern Canadian Shield,"Canadian Journal of Earth Sciences, 34(8):1167-1184"
AB102,-81.7,47.13,426,38,,FALSE,REFRACTION,LITHOPROBE,ABITIBI-GRENVILLE,Winardhi & Mereu,1997,Crustal velocity structure of the Superior and Grenville provinces of the southeastern Canadian Shield,"Canadian Journal of Earth Sciences, 34(8):1167-1184"
AB102,-81.7,47.13,426,40,,TRUE,REFRACTION,LITHOPROBE,ABITIBI-GRENVILLE,Winardhi & Mereu,1997,Crustal velocity structure of the Superior and Grenville provinces of the southeastern Canadian Shield,"Canadian Journal of Earth Sciences, 34(8):1167-1184"
AB103,-81.63,46.97,425.23,38,,FALSE,REFRACTION,LITHOPROBE,ABITIBI-GRENVILLE,Winardhi & Mereu,1997,Crustal velocity structure of the Superior and Grenville provinces of the southeastern Canadian Shield,"Canadian Journal of Earth Sciences, 34(8):1167-1184"
AB104,-81.61,46.82,398.93,38,,FALSE,REFRACTION,LITHOPROBE,ABITIBI-GRENVILLE,Winardhi & Mereu,1997,Crustal velocity structure of the Superior and Grenville provinces of the southeastern Canadian Shield,"Canadian Journal of Earth Sciences, 34(8):1167-1184"
AB104,-81.61,46.82,398.93,40,,TRUE,REFRACTION,LITHOPROBE,ABITIBI-GRENVILLE,Winardhi & Mereu,1997,Crustal velocity structure of the Superior and Grenville provinces of the southeastern Canadian Shield,"Canadian Journal of Earth Sciences, 34(8):1167-1184"
AB105,-81.46,46.62,331,39,,FALSE,REFRACTION,LITHOPROBE,ABITIBI-GRENVILLE,Winardhi & Mereu,1997,Crustal velocity structure of the Superior and Grenville provinces of the southeastern Canadian Shield,"Canadian Journal of Earth Sciences, 34(8):1167-1184"
AB106,-81.04,46.53,308.07,41,,FALSE,REFRACTION,LITHOPROBE,ABITIBI-GRENVILLE,Winardhi & Mereu,1997,Crustal velocity structure of the Superior and Grenville provinces of the southeastern Canadian Shield,"Canadian Journal of Earth Sciences, 34(8):1167-1184"
AB107,-80.8,46.27,230.56,46,,FALSE,REFRACTION,LITHOPROBE,ABITIBI-GRENVILLE,Winardhi & Mereu,1997,Crustal velocity structure of the Superior and Grenville provinces of the southeastern Canadian Shield,"Canadian Journal of Earth Sciences, 34(8):1167-1184"
AB107,-80.8,46.27,230.56,40,,TRUE,REFRACTION,LITHOPROBE,ABITIBI-GRENVILLE,Winardhi & Mereu,1997,Crustal velocity structure of the Superior and Grenville provinces of the southeastern Canadian Shield,"Canadian Journal of Earth Sciences, 34(8):1167-1184"
AB108,-80.54,45.86,187.38,47,,FALSE,REFRACTION,LITHOPROBE,ABITIBI-GRENVILLE,Winardhi & Mereu,1997,Crustal velocity structure of the Superior and Grenville provinces of the southeastern Canadian Shield,"Canadian Journal of Earth Sciences, 34(8):1167-1184"
AB108,-80.54,45.86,187.38,44,,TRUE,REFRACTION,LITHOPROBE,ABITIBI-GRENVILLE,Winardhi & Mereu,1997,Crustal velocity structure of the Superior and Grenville provinces of the southeastern Canadian Shield,"Canadian Journal of Earth Sciences, 34(8):1167-1184"
